"","X","trial","accent","stress","type","target","condition","block","rt","ppn"
"47",47,"C3.I.5","yes","same","+written accent, -stress difference","fútbol","gesture",1,3.10062694549561,"pilot_1_lieke"
"40",40,"C2.I.19","no","difference","-written accent, +stress difference","farmacia","gesture",0,3.22393393516541,"pilot_1_lieke"
"12",12,"C1.I.12","yes","difference","+written accent, +stress difference","océano","gesture",0,3.0641770362854,"pilot_1_lieke"
"27",27,"C2.I.6","no","difference","-written accent, +stress difference","mamut","gesture",0,3.06258010864258,"pilot_1_lieke"
"51",51,"C3.I.9","yes","same","+written accent, -stress difference","círculo","gesture",0,3.0929388999939,"pilot_1_lieke"
"16",16,"C1.I.16","yes","difference","+written accent, +stress difference","gramófono","gesture",0,3.08638596534729,"pilot_1_lieke"
"35",35,"C2.I.14","no","difference","-written accent, +stress difference","festival","gesture",1,3.11015701293945,"pilot_1_lieke"
"70",70,"C4.I.7","no","same","-written accent, -stress difference","cables","gesture",0,3.0807101726532,"pilot_1_lieke"
"41",41,"C2.I.20","no","difference","-written accent, +stress difference","aristocracia","gesture",0,3.07077789306641,"pilot_1_lieke"
"74",74,"C4.I.11","no","same","-written accent, -stress difference","ensalada","gesture",0,3.08571696281433,"pilot_1_lieke"
"7",7,"C1.I.7","yes","difference","+written accent, +stress difference","teléfono","gesture",0,3.08341193199158,"pilot_1_lieke"
"14",14,"C1.I.14","yes","difference","+written accent, +stress difference","católico","gesture",0,3.0760931968689,"pilot_1_lieke"
"57",57,"C3.I.15","yes","same","+written accent, -stress difference","teoría","gesture",1,3.07948088645935,"pilot_1_lieke"
"52",52,"C3.I.10","yes","same","+written accent, -stress difference","álbum","gesture",0,3.06736016273499,"pilot_1_lieke"
"23",23,"C2.I.2","no","difference","-written accent, +stress difference","vacaciones","gesture",0,3.11022400856018,"pilot_1_lieke"
"33",33,"C2.I.12","no","difference","-written accent, +stress difference","error","gesture",0,3.05377984046936,"pilot_1_lieke"
"26",26,"C2.I.5","no","difference","-written accent, +stress difference","internet","gesture",0,3.06849408149719,"pilot_1_lieke"
"78",78,"C4.I.15","no","same","-written accent, -stress difference","blusa","gesture",0,3.05772304534912,"pilot_1_lieke"
"2",2,"C1.I.2","yes","difference","+written accent, +stress difference","centímetro","nogesture",1,3.08082485198975,"pilot_1_lieke"
"6",6,"C1.I.6","yes","difference","+written accent, +stress difference","automóvil","nogesture",0,3.09655499458313,"pilot_1_lieke"
"8",8,"C1.I.8","yes","difference","+written accent, +stress difference","fórmula","nogesture",0,3.0744481086731,"pilot_1_lieke"
"20",20,"C1.I.20","yes","difference","+written accent, +stress difference","cafetería","nogesture",0,3.09196186065674,"pilot_1_lieke"
"71",71,"C4.I.8","no","same","-written accent, -stress difference","proceso","nogesture",0,3.40538716316223,"pilot_1_lieke"
"48",48,"C3.I.6","yes","same","+written accent, -stress difference","saxofón","nogesture",0,3.06817698478699,"pilot_1_lieke"
"68",68,"C4.I.5","no","same","-written accent, -stress difference","tomate","gesture",1,3.0713529586792,"pilot_1_lieke"
"60",60,"C3.I.18","yes","same","+written accent, -stress difference","romántico","gesture",0,3.08017611503601,"pilot_1_lieke"
"17",17,"C1.I.17","yes","difference","+written accent, +stress difference","micrófono","gesture",0,3.28000998497009,"pilot_1_lieke"
"10",10,"C1.I.10","yes","difference","+written accent, +stress difference","satélito","gesture",0,3.07485580444336,"pilot_1_lieke"
"84",84,"C4.E.21","no","same","-written accent, -stress difference","planeta","gesture",0,3.07543420791626,"pilot_1_lieke"
"55",55,"C3.I.13","yes","same","+written accent, -stress difference","pragmática","gesture",0,3.07644295692444,"pilot_1_lieke"
"13",13,"C1.I.13","yes","difference","+written accent, +stress difference","carnívora","nogesture",1,3.21162390708923,"pilot_1_lieke"
"64",64,"C4.I.1","no","same","-written accent, -stress difference","parasol","nogesture",0,3.06965804100037,"pilot_1_lieke"
"59",59,"C3.I.17","yes","same","+written accent, -stress difference","académico","nogesture",0,3.07129192352295,"pilot_1_lieke"
"19",19,"C1.I.19","yes","difference","+written accent, +stress difference","catástrofe","nogesture",0,3.08444499969482,"pilot_1_lieke"
"24",24,"C2.I.3","no","difference","-written accent, +stress difference","profesor","nogesture",0,3.11116218566895,"pilot_1_lieke"
"42",42,"C2.E.21","no","difference","-written accent, +stress difference","elefantes","nogesture",0,3.10083794593811,"pilot_1_lieke"
"30",30,"C2.I.9","no","difference","-written accent, +stress difference","radiador","nogesture",1,3.0878210067749,"pilot_1_lieke"
"62",62,"C3.I.20","yes","same","+written accent, -stress difference","helicóptero","nogesture",0,3.08265805244446,"pilot_1_lieke"
"46",46,"C3.I.4","yes","same","+written accent, -stress difference","número","nogesture",0,3.93233895301819,"pilot_1_lieke"
"65",65,"C4.I.2","no","same","-written accent, -stress difference","universidad","nogesture",0,4.37448000907898,"pilot_1_lieke"
"80",80,"C4.I.17","no","same","-written accent, -stress difference","familia","nogesture",0,3.07405090332031,"pilot_1_lieke"
"43",43,"C3.I.1","yes","same","+written accent, -stress difference","brócoli","nogesture",0,3.08071899414062,"pilot_1_lieke"
"36",36,"C2.I.15","no","difference","-written accent, +stress difference","uniforme","nogesture",1,3.07931900024414,"pilot_1_lieke"
"79",79,"C4.I.16","no","same","-written accent, -stress difference","cabina","nogesture",0,3.09516596794128,"pilot_1_lieke"
"69",69,"C4.I.6","no","same","-written accent, -stress difference","princesa","nogesture",0,3.09155797958374,"pilot_1_lieke"
"72",72,"C4.I.9","no","same","-written accent, -stress difference","papel","nogesture",0,3.07637190818787,"pilot_1_lieke"
"81",81,"C4.I.18","no","same","-written accent, -stress difference","canal","nogesture",0,3.09126305580139,"pilot_1_lieke"
"3",3,"C1.I.3","yes","difference","+written accent, +stress difference","pirámide","nogesture",0,3.08338904380798,"pilot_1_lieke"
"29",29,"C2.I.8","no","difference","-written accent, +stress difference","doctor","nogesture",1,3.07967591285706,"pilot_1_lieke"
"39",39,"C2.I.18","no","difference","-written accent, +stress difference","alergia","nogesture",0,3.06259107589722,"pilot_1_lieke"
"61",61,"C3.I.19","yes","same","+written accent, -stress difference","espárrago","nogesture",0,3.08071804046631,"pilot_1_lieke"
"75",75,"C4.I.12","no","same","-written accent, -stress difference","chocolate","nogesture",0,3.09338593482971,"pilot_1_lieke"
"31",31,"C2.I.10","no","difference","-written accent, +stress difference","ilustrador","nogesture",0,3.55829882621765,"pilot_1_lieke"
"77",77,"C4.I.14","no","same","-written accent, -stress difference","restaurante","nogesture",0,3.06926798820496,"pilot_1_lieke"
"76",76,"C4.I.13","no","same","-written accent, -stress difference","limonada","nogesture",1,3.09794402122498,"pilot_1_lieke"
"63",63,"C3.E.21","yes","same","+written accent, -stress difference","histórico","nogesture",0,3.10816788673401,"pilot_1_lieke"
"56",56,"C3.I.14","yes","same","+written accent, -stress difference","volcán","nogesture",0,3.1855890750885,"pilot_1_lieke"
"18",18,"C1.I.18","yes","difference","+written accent, +stress difference","metáfora","nogesture",0,3.08657193183899,"pilot_1_lieke"
"37",37,"C2.I.16","no","difference","-written accent, +stress difference","alcohol","nogesture",0,3.07927012443542,"pilot_1_lieke"
"50",50,"C3.I.8","yes","same","+written accent, -stress difference","analítico","nogesture",0,3.10082197189331,"pilot_1_lieke"
"53",53,"C3.I.11","yes","same","+written accent, -stress difference","ángel","gesture",1,3.21622109413147,"pilot_1_lieke"
"11",11,"C1.I.11","yes","difference","+written accent, +stress difference","gráfico","gesture",0,3.06932687759399,"pilot_1_lieke"
"9",9,"C1.I.9","yes","difference","+written accent, +stress difference","acróbata","gesture",0,3.07179403305054,"pilot_1_lieke"
"49",49,"C3.I.7","yes","same","+written accent, -stress difference","carácter","gesture",0,3.05337309837341,"pilot_1_lieke"
"5",5,"C1.I.5","yes","difference","+written accent, +stress difference","máquina","gesture",0,3.08041286468506,"pilot_1_lieke"
"21",21,"C1.E.21","yes","difference","+written accent, +stress difference","sofá","gesture",0,3.09023404121399,"pilot_1_lieke"
"15",15,"C1.I.15","yes","difference","+written accent, +stress difference","demócrata","nogesture",1,3.82391810417175,"pilot_1_lieke"
"32",32,"C2.I.11","no","difference","-written accent, +stress difference","color","nogesture",0,3.09168601036072,"pilot_1_lieke"
"25",25,"C2.I.4","no","difference","-written accent, +stress difference","ventilador","nogesture",0,3.06751799583435,"pilot_1_lieke"
"22",22,"C2.I.1","no","difference","-written accent, +stress difference","clima","nogesture",0,3.08365392684937,"pilot_1_lieke"
"4",4,"C1.I.4","yes","difference","+written accent, +stress difference","cardiólogo","nogesture",0,3.10251808166504,"pilot_1_lieke"
"67",67,"C4.I.4","no","same","-written accent, -stress difference","mango","nogesture",0,3.06480193138123,"pilot_1_lieke"
"1",1,"C1.I.1","yes","difference","+written accent, +stress difference","análisis","gesture",1,3.08447790145874,"pilot_1_lieke"
"58",58,"C3.I.16","yes","same","+written accent, -stress difference","geográfico","gesture",0,3.09075808525085,"pilot_1_lieke"
"38",38,"C2.I.17","no","difference","-written accent, +stress difference","actor","gesture",0,3.06455111503601,"pilot_1_lieke"
"28",28,"C2.I.7","no","difference","-written accent, +stress difference","horizonte","gesture",0,3.15648412704468,"pilot_1_lieke"
"73",73,"C4.I.10","no","same","-written accent, -stress difference","programa","gesture",0,3.06619191169739,"pilot_1_lieke"
"66",66,"C4.I.3","no","same","-written accent, -stress difference","formulario","gesture",0,3.09459495544434,"pilot_1_lieke"
"34",34,"C2.I.13","no","difference","-written accent, +stress difference","factor","gesture",1,3.07585406303406,"pilot_1_lieke"
"54",54,"C3.I.12","yes","same","+written accent, -stress difference","capitán","gesture",0,3.20707988739014,"pilot_1_lieke"
"44",44,"C3.I.2","yes","same","+written accent, -stress difference","político","gesture",0,3.10088205337524,"pilot_1_lieke"
"82",82,"C4.I.19","no","same","-written accent, -stress difference","centro","gesture",0,3.04901194572449,"pilot_1_lieke"
"83",83,"C4.I.20","no","same","-written accent, -stress difference","insectos","gesture",0,3.08471393585205,"pilot_1_lieke"
"45",45,"C3.I.3","yes","same","+written accent, -stress difference","cámara","gesture",0,3.09432601928711,"pilot_1_lieke"
"471",47,"C3.I.5","yes","same","+written accent, -stress difference","fútbol","nogesture",1,3.08258605003357,"pilot_1_lieke"
"401",40,"C2.I.19","no","difference","-written accent, +stress difference","farmacia","nogesture",0,3.08752799034119,"pilot_1_lieke"
"121",12,"C1.I.12","yes","difference","+written accent, +stress difference","océano","nogesture",0,3.07586908340454,"pilot_1_lieke"
"271",27,"C2.I.6","no","difference","-written accent, +stress difference","mamut","nogesture",0,3.09134697914124,"pilot_1_lieke"
"511",51,"C3.I.9","yes","same","+written accent, -stress difference","círculo","nogesture",0,3.10709285736084,"pilot_1_lieke"
"161",16,"C1.I.16","yes","difference","+written accent, +stress difference","gramófono","nogesture",0,3.1027660369873,"pilot_1_lieke"
"351",35,"C2.I.14","no","difference","-written accent, +stress difference","festival","nogesture",1,3.08224391937256,"pilot_1_lieke"
"701",70,"C4.I.7","no","same","-written accent, -stress difference","cables","nogesture",0,3.06018590927124,"pilot_1_lieke"
"411",41,"C2.I.20","no","difference","-written accent, +stress difference","aristocracia","nogesture",0,3.07818102836609,"pilot_1_lieke"
"741",74,"C4.I.11","no","same","-written accent, -stress difference","ensalada","nogesture",0,3.08428597450256,"pilot_1_lieke"
"710",7,"C1.I.7","yes","difference","+written accent, +stress difference","teléfono","nogesture",0,3.06494903564453,"pilot_1_lieke"
"141",14,"C1.I.14","yes","difference","+written accent, +stress difference","católico","nogesture",0,3.08879804611206,"pilot_1_lieke"
"571",57,"C3.I.15","yes","same","+written accent, -stress difference","teoría","nogesture",1,3.08218502998352,"pilot_1_lieke"
"521",52,"C3.I.10","yes","same","+written accent, -stress difference","álbum","nogesture",0,3.08223509788513,"pilot_1_lieke"
"231",23,"C2.I.2","no","difference","-written accent, +stress difference","vacaciones","nogesture",0,3.08346796035767,"pilot_1_lieke"
"331",33,"C2.I.12","no","difference","-written accent, +stress difference","error","nogesture",0,3.05604887008667,"pilot_1_lieke"
"261",26,"C2.I.5","no","difference","-written accent, +stress difference","internet","nogesture",0,3.31316208839417,"pilot_1_lieke"
"781",78,"C4.I.15","no","same","-written accent, -stress difference","blusa","nogesture",0,3.07820105552673,"pilot_1_lieke"
"210",2,"C1.I.2","yes","difference","+written accent, +stress difference","centímetro","gesture",1,3.0670108795166,"pilot_1_lieke"
"610",6,"C1.I.6","yes","difference","+written accent, +stress difference","automóvil","gesture",0,3.06523108482361,"pilot_1_lieke"
"85",8,"C1.I.8","yes","difference","+written accent, +stress difference","fórmula","gesture",0,3.28890895843506,"pilot_1_lieke"
"201",20,"C1.I.20","yes","difference","+written accent, +stress difference","cafetería","gesture",0,3.08402895927429,"pilot_1_lieke"
"711",71,"C4.I.8","no","same","-written accent, -stress difference","proceso","gesture",0,3.07700300216675,"pilot_1_lieke"
"481",48,"C3.I.6","yes","same","+written accent, -stress difference","saxofón","gesture",0,3.07989883422852,"pilot_1_lieke"
"681",68,"C4.I.5","no","same","-written accent, -stress difference","tomate","nogesture",1,3.22087502479553,"pilot_1_lieke"
"601",60,"C3.I.18","yes","same","+written accent, -stress difference","romántico","nogesture",0,3.07981300354004,"pilot_1_lieke"
"171",17,"C1.I.17","yes","difference","+written accent, +stress difference","micrófono","nogesture",0,3.06632804870605,"pilot_1_lieke"
"101",10,"C1.I.10","yes","difference","+written accent, +stress difference","satélito","nogesture",0,3.08117699623108,"pilot_1_lieke"
"841",84,"C4.E.21","no","same","-written accent, -stress difference","planeta","nogesture",0,3.06243205070496,"pilot_1_lieke"
"551",55,"C3.I.13","yes","same","+written accent, -stress difference","pragmática","nogesture",0,3.07778286933899,"pilot_1_lieke"
"131",13,"C1.I.13","yes","difference","+written accent, +stress difference","carnívora","gesture",1,3.0595600605011,"pilot_1_lieke"
"641",64,"C4.I.1","no","same","-written accent, -stress difference","parasol","gesture",0,3.05686807632446,"pilot_1_lieke"
"591",59,"C3.I.17","yes","same","+written accent, -stress difference","académico","gesture",0,3.07174611091614,"pilot_1_lieke"
"191",19,"C1.I.19","yes","difference","+written accent, +stress difference","catástrofe","gesture",0,3.08111619949341,"pilot_1_lieke"
"241",24,"C2.I.3","no","difference","-written accent, +stress difference","profesor","gesture",0,3.06947183609009,"pilot_1_lieke"
"421",42,"C2.E.21","no","difference","-written accent, +stress difference","elefantes","gesture",0,3.07536196708679,"pilot_1_lieke"
"301",30,"C2.I.9","no","difference","-written accent, +stress difference","radiador","gesture",1,3.09377503395081,"pilot_1_lieke"
"621",62,"C3.I.20","yes","same","+written accent, -stress difference","helicóptero","gesture",0,3.08201003074646,"pilot_1_lieke"
"461",46,"C3.I.4","yes","same","+written accent, -stress difference","número","gesture",0,3.0897331237793,"pilot_1_lieke"
"651",65,"C4.I.2","no","same","-written accent, -stress difference","universidad","gesture",0,3.08730983734131,"pilot_1_lieke"
"801",80,"C4.I.17","no","same","-written accent, -stress difference","familia","gesture",0,3.08932399749756,"pilot_1_lieke"
"431",43,"C3.I.1","yes","same","+written accent, -stress difference","brócoli","gesture",0,3.30868005752563,"pilot_1_lieke"
"361",36,"C2.I.15","no","difference","-written accent, +stress difference","uniforme","gesture",1,3.07553601264954,"pilot_1_lieke"
"791",79,"C4.I.16","no","same","-written accent, -stress difference","cabina","gesture",0,3.08786082267761,"pilot_1_lieke"
"691",69,"C4.I.6","no","same","-written accent, -stress difference","princesa","gesture",0,3.08273816108704,"pilot_1_lieke"
"721",72,"C4.I.9","no","same","-written accent, -stress difference","papel","gesture",0,3.2295708656311,"pilot_1_lieke"
"811",81,"C4.I.18","no","same","-written accent, -stress difference","canal","gesture",0,3.09649300575256,"pilot_1_lieke"
"310",3,"C1.I.3","yes","difference","+written accent, +stress difference","pirámide","gesture",0,3.08848214149475,"pilot_1_lieke"
"291",29,"C2.I.8","no","difference","-written accent, +stress difference","doctor","gesture",1,3.06384992599487,"pilot_1_lieke"
"391",39,"C2.I.18","no","difference","-written accent, +stress difference","alergia","gesture",0,3.20958495140076,"pilot_1_lieke"
"611",61,"C3.I.19","yes","same","+written accent, -stress difference","espárrago","gesture",0,3.07454013824463,"pilot_1_lieke"
"751",75,"C4.I.12","no","same","-written accent, -stress difference","chocolate","gesture",0,3.08124899864197,"pilot_1_lieke"
"311",31,"C2.I.10","no","difference","-written accent, +stress difference","ilustrador","gesture",0,3.08724594116211,"pilot_1_lieke"
"771",77,"C4.I.14","no","same","-written accent, -stress difference","restaurante","gesture",0,3.07881212234497,"pilot_1_lieke"
"761",76,"C4.I.13","no","same","-written accent, -stress difference","limonada","gesture",1,3.06909799575806,"pilot_1_lieke"
"631",63,"C3.E.21","yes","same","+written accent, -stress difference","histórico","gesture",0,3.06927704811096,"pilot_1_lieke"
"561",56,"C3.I.14","yes","same","+written accent, -stress difference","volcán","gesture",0,3.07647180557251,"pilot_1_lieke"
"181",18,"C1.I.18","yes","difference","+written accent, +stress difference","metáfora","gesture",0,3.06542706489563,"pilot_1_lieke"
"371",37,"C2.I.16","no","difference","-written accent, +stress difference","alcohol","gesture",0,3.04984784126282,"pilot_1_lieke"
"501",50,"C3.I.8","yes","same","+written accent, -stress difference","analítico","gesture",0,3.0723831653595,"pilot_1_lieke"
"531",53,"C3.I.11","yes","same","+written accent, -stress difference","ángel","nogesture",1,3.05406498908997,"pilot_1_lieke"
"111",11,"C1.I.11","yes","difference","+written accent, +stress difference","gráfico","nogesture",0,3.09066200256348,"pilot_1_lieke"
"91",9,"C1.I.9","yes","difference","+written accent, +stress difference","acróbata","nogesture",0,3.07148313522339,"pilot_1_lieke"
"491",49,"C3.I.7","yes","same","+written accent, -stress difference","carácter","nogesture",0,3.06657385826111,"pilot_1_lieke"
"510",5,"C1.I.5","yes","difference","+written accent, +stress difference","máquina","nogesture",0,3.05094695091248,"pilot_1_lieke"
"211",21,"C1.E.21","yes","difference","+written accent, +stress difference","sofá","nogesture",0,3.0666081905365,"pilot_1_lieke"
"151",15,"C1.I.15","yes","difference","+written accent, +stress difference","demócrata","gesture",1,3.07531404495239,"pilot_1_lieke"
"321",32,"C2.I.11","no","difference","-written accent, +stress difference","color","gesture",0,3.05728387832642,"pilot_1_lieke"
"251",25,"C2.I.4","no","difference","-written accent, +stress difference","ventilador","gesture",0,3.06251311302185,"pilot_1_lieke"
"221",22,"C2.I.1","no","difference","-written accent, +stress difference","clima","gesture",0,3.06911301612854,"pilot_1_lieke"
"410",4,"C1.I.4","yes","difference","+written accent, +stress difference","cardiólogo","gesture",0,3.07748889923096,"pilot_1_lieke"
"671",67,"C4.I.4","no","same","-written accent, -stress difference","mango","gesture",0,3.05896210670471,"pilot_1_lieke"
"110",1,"C1.I.1","yes","difference","+written accent, +stress difference","análisis","nogesture",1,3.09333491325378,"pilot_1_lieke"
"581",58,"C3.I.16","yes","same","+written accent, -stress difference","geográfico","nogesture",0,3.04749011993408,"pilot_1_lieke"
"381",38,"C2.I.17","no","difference","-written accent, +stress difference","actor","nogesture",0,3.05698800086975,"pilot_1_lieke"
"281",28,"C2.I.7","no","difference","-written accent, +stress difference","horizonte","nogesture",0,3.05764007568359,"pilot_1_lieke"
"731",73,"C4.I.10","no","same","-written accent, -stress difference","programa","nogesture",0,3.20741987228394,"pilot_1_lieke"
"661",66,"C4.I.3","no","same","-written accent, -stress difference","formulario","nogesture",0,5.33191800117493,"pilot_1_lieke"
"341",34,"C2.I.13","no","difference","-written accent, +stress difference","factor","nogesture",1,3.10138082504272,"pilot_1_lieke"
"541",54,"C3.I.12","yes","same","+written accent, -stress difference","capitán","nogesture",0,3.07694005966187,"pilot_1_lieke"
"441",44,"C3.I.2","yes","same","+written accent, -stress difference","político","nogesture",0,3.10196805000305,"pilot_1_lieke"
"821",82,"C4.I.19","no","same","-written accent, -stress difference","centro","nogesture",0,3.32545590400696,"pilot_1_lieke"
"831",83,"C4.I.20","no","same","-written accent, -stress difference","insectos","nogesture",0,3.09157514572144,"pilot_1_lieke"
"451",45,"C3.I.3","yes","same","+written accent, -stress difference","cámara","nogesture",0,3.08051705360413,"pilot_1_lieke"
