trial,accent,stress,type,target,stressed syllable L1,stressed syllable L2,L1-L2
C1.I.1,yes,difference,"+written accent, +stress difference",análisis,3,2,1
C1.I.2,yes,difference,"+written accent, +stress difference",centímetro,3,2,1
C1.I.3,yes,difference,"+written accent, +stress difference",pirámide,3,2,1
C1.I.4,yes,difference,"+written accent, +stress difference",cardiólogo,3,2,1
C1.I.5,yes,difference,"+written accent, +stress difference",máquina,2,1,1
C1.I.6,yes,difference,"+written accent, +stress difference",automóvil,4,3,1
C1.I.7,yes,difference,"+written accent, +stress difference",teléfono,3,2,1
C1.I.8,yes,difference,"+written accent, +stress difference",fórmula,2,1,1
C1.I.9,yes,difference,"+written accent, +stress difference",acróbata,3,2,1
C1.I.10,yes,difference,"+written accent, +stress difference",satélite,3,2,1
C1.I.11,yes,difference,"+written accent, +stress difference",gráfico,2,1,1
C1.I.12,yes,difference,"+written accent, +stress difference",océano,3,2,1
C1.I.13,yes,difference,"+written accent, +stress difference",carnívora,3,2,1
C1.I.14,yes,difference,"+written accent, +stress difference",católico,3,2,1
C1.I.15,yes,difference,"+written accent, +stress difference",demócrata,3,2,1
C1.I.16,yes,difference,"+written accent, +stress difference",gramófono,3,2,1
C1.I.17,yes,difference,"+written accent, +stress difference",micrófono,3,2,1
C1.I.18,yes,difference,"+written accent, +stress difference",metáfora,3,2,1
C1.I.19,yes,difference,"+written accent, +stress difference",catástrofe,3,2,1
C1.I.20,yes,difference,"+written accent, +stress difference",cafetería,3,4,-1
C1.E.21,yes,difference,"+written accent, +stress difference",sofá,1,2,-1
C2.I.1,no,difference,"-written accent, +stress difference",clima,2,1,1
C2.I.2,no,difference,"-written accent, +stress difference",vacaciones,2,3,-1
C2.I.3,no,difference,"-written accent, +stress difference",profesor,2,3,-1
C2.I.4,no,difference,"-written accent, +stress difference",ventilador,3,4,-1
C2.I.5,no,difference,"-written accent, +stress difference",internet,1,3,-2
C2.I.6,no,difference,"-written accent, +stress difference",mamut,1,2,-1
C2.I.7,no,difference,"-written accent, +stress difference",horizonte,1,3,-2
C2.I.8,no,difference,"-written accent, +stress difference",doctor,1,2,-1
C2.I.9,no,difference,"-written accent, +stress difference",radiador,2,3,-1
C2.I.10,no,difference,"-written accent, +stress difference",ilustrador,3,4,-1
C2.I.11,no,difference,"-written accent, +stress difference",color,1,2,-1
C2.I.12,no,difference,"-written accent, +stress difference",error,1,2,-1
C2.I.13,no,difference,"-written accent, +stress difference",factor,1,2,-1
C2.I.14,no,difference,"-written accent, +stress difference",festival,1,3,-2
C2.I.15,no,difference,"-written accent, +stress difference",uniforme,1,3,-2
C2.I.16,no,difference,"-written accent, +stress difference",alcohol,1,3,-2
C2.I.17,no,difference,"-written accent, +stress difference",actor,2,2,0
C2.I.18,no,difference,"-written accent, +stress difference",alergia,3,2,1
C2.I.19,no,difference,"-written accent, +stress difference",farmacia,3,2,1
C2.I.20,no,difference,"-written accent, +stress difference",aristocracia,5,4,1
C2.E.21,no,difference,"-written accent, +stress difference",elefantes,1,3,-2
C3.I.1,yes,same,"+written accent, -stress difference",brócoli,1,1,0
C3.I.2,yes,same,"+written accent, -stress difference",político,2,2,0
C3.I.3,yes,same,"+written accent, -stress difference",cámara,1,1,0
C3.I.4,yes,same,"+written accent, -stress difference",número,1,1,0
C3.I.5,yes,same,"+written accent, -stress difference",fútbol,1,1,0
C3.I.6,yes,same,"+written accent, -stress difference",saxofón,3,3,0
C3.I.7,yes,same,"+written accent, -stress difference",carácter,2,2,0
C3.I.8,yes,same,"+written accent, -stress difference",analítico,3,3,0
C3.I.9,yes,same,"+written accent, -stress difference",círculo,1,1,0
C3.I.10,yes,same,"+written accent, -stress difference",álbum,1,1,0
C3.I.11,yes,same,"+written accent, -stress difference",ángel,1,1,0
C3.I.12,yes,same,"+written accent, -stress difference",capitán,3,3,0
C3.I.13,yes,same,"+written accent, -stress difference",pragmática,2,2,0
C3.I.14,yes,same,"+written accent, -stress difference",volcán,2,2,0
C3.I.15,yes,same,"+written accent, -stress difference",teoría,3,3,0
C3.I.16,yes,same,"+written accent, -stress difference",geográfico,3,3,0
C3.I.17,yes,same,"+written accent, -stress difference",académico,3,3,0
C3.I.18,yes,same,"+written accent, -stress difference",romántico,2,2,0
C3.I.19,yes,same,"+written accent, -stress difference",espárrago,2,2,0
C3.I.20,yes,same,"+written accent, -stress difference",helicóptero,3,3,0
C3.E.21,yes,same,"+written accent, -stress difference",histórico,2,2,0
C4.I.1,no,same,"-written accent, -stress difference",parasol,3,3,0
C4.I.2,no,same,"-written accent, -stress difference",universidad,5,5,0
C4.I.3,no,same,"-written accent, -stress difference",formulario,3,3,0
C4.I.4,no,same,"-written accent, -stress difference",mango,1,1,0
C4.I.5,no,same,"-written accent, -stress difference",tomate,2,2,0
C4.I.6,no,same,"-written accent, -stress difference",princesa,2,2,0
C4.I.7,no,same,"-written accent, -stress difference",cables,1,1,0
C4.I.8,no,same,"-written accent, -stress difference",proceso,2,2,0
C4.I.9,no,same,"-written accent, -stress difference",papel,2,2,0
C4.I.10,no,same,"-written accent, -stress difference",programa,2,2,0
C4.I.11,no,same,"-written accent, -stress difference",ensalada,2,3,-1
C4.I.12,no,same,"-written accent, -stress difference",chocolate,3,3,0
C4.I.13,no,same,"-written accent, -stress difference",limonada,3,3,0
C4.I.14,no,same,"-written accent, -stress difference",restaurante,3,3,0
C4.I.15,no,same,"-written accent, -stress difference",blusa,1,1,0
C4.I.16,no,same,"-written accent, -stress difference",cabina,2,2,0
C4.I.17,no,same,"-written accent, -stress difference",familia,2,2,0
C4.I.18,no,same,"-written accent, -stress difference",canal,2,2,0
C4.I.19,no,same,"-written accent, -stress difference",centro,1,1,0
C4.I.20,no,same,"-written accent, -stress difference",insectos,2,2,0
C4.E.21,no,same,"-written accent, -stress difference",planeta,2,2,0
P.C1.1,yes,difference,"+written accent, +stress difference",simpático,3,2,1
P.C1.2,yes,difference,"+written accent, +stress difference",símbolo,2,1,1
P.C1.3,yes,difference,"+written accent, +stress difference",kilómetro,3,2,1
P.C2.1,no,difference,"-written accent, +stress difference",carnaval,1,3,-2
P.C2.2,no,difference,"-written accent, +stress difference",democracia,4,3,1
P.C2.3,no,difference,"-written accent, +stress difference",voleibol,1,3,-2
P.C3.1,yes,same,"+written accent, -stress difference",económico,3,3,0
P.C3.2,yes,same,"+written accent, -stress difference",energía,3,3,0
P.C3.3,yes,same,"+written accent, -stress difference",ecología,4,4,0
P.C4.1,no,same,"-written accent, -stress difference",mandarina,3,3,0
P.C4.2,no,same,"-written accent, -stress difference",sistema,2,2,0
P.C4.3,no,same,"-written accent, -stress difference",bailarina,3,3,0
